source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Objet Général,1759,,,Allemagne,Imports,Acier,,,40918,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Espagne,Imports,Acier,,,159,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Flandre,Imports,Acier,,,266,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Geneve,Imports,Acier,,,56,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Acier,,,139389,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Italie,Imports,Acier,,,525,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Genes,Imports,Acier,,,192,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Nord,Imports,Acier,,,6933,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Suede,Imports,Acier,,,25477,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Suisse,Imports,Acier,,,2357,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,216271,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Acorus,,,124,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,0,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Agaric,,,12,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,0,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Levant,Imports,Ajamix,,,241065,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,0,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Allemagne,Imports,Aiguilles,,,385814,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,407299,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Flandre,Imports,Aiguilles,,,20700,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,407299,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Aiguilles,,,770,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,407299,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Savoye,Imports,Aiguilles,,,15,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",2,,407299,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Espagne,Imports,Ails,,,6176,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,8804,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Italie,Imports,Ails,,,19,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,8804,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Genes,Imports,Ails,,,2600,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,8804,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Savoye,Imports,Ails,,,9,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,8804,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Geneve,Imports,Ains à pecher,,,300,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,450,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Ains à pecher,,,150,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,450,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Levant,Imports,Alaya,,,3944,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,0,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Flandre,Imports,Aloes,,,1113,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,12228,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Aloes,,,3812,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,12228,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Levant,Imports,Aloes,,,7302,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,12228,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Espagne,Imports,Alpargattes,,,110,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,0,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Alumettes,,,1192,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,1232,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Savoye,Imports,Alumettes,,,40,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,1232,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Allemagne,Imports,Alun,,,14033,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Danemark,Imports,Alun,,,260,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Espagne,Imports,Alun,,,19815,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Hollande,Imports,Alun,,,99174,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Italie,Imports,Alun,,,186600,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
Objet Général,1759,,,Genes,Imports,Alun,,,13200,0,,,,sources/Objet Général/BM_Rouen_Montbret_155-2_Imports_1759.csv,"BM Rouen, Fonds Montbret, 155-2",4,,445603,,,,Fatima Zahra,,,,,,,,,,,
