numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,marchandises,pays,value,probleme,remarks
1,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Constantinople,940334,-940334,9 batiments
2,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Smirne,1428642,-1428642,13 batiments
3,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Alexandrette,1386514,-1386514,9 batiments
4,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Seydes,1144044,-1144044,16 batiments
5,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Tripoly de Syrie,780724,-780724,4 batiments
6,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Chypres,312309,-312309,1 batiment
7,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Egypte,2329014,-2329014,14 batiments
8,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Salonique,316301,-316301,6 batiments
9,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Archypel,1646100,-1646100,62 batiments
10,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Morée,446881,-446881,17 batiments
11,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Candie,779782,-779782,21 batiments
12,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,1,1723,Imports,Marseille,,Barbarie,502223,-502223,32 batiments
13,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Constantinople,983765,-983765,8 batiments
14,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Smirne,2347781,-2347781,12 batiments
15,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Alexandrette,2383834,-2383834,9 batiments
16,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Seydes,925985,-925985,16 batiments
17,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Tripoly de Syrie,815380,-815380,2 batiments
18,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Chypres,402081,-402081,1 batiment
19,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Egypte,1221449,-1221449,18 batiments
20,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Salonique,297921,-297921,16 batiments
21,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Archypel,1852885,-1852885,122 batiments
22,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Morée,249482,-249482,11 batiments
23,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Candie,746917,-746917,18 batiments
24,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1723-1724.csv,Out,2,1724,Imports,Marseille,,Barbarie,625892,-625892,40 batiments
